query_id,question
thrombosis_q001,"What are the strongest independent risk factors for venous thromboembolism in adults"
thrombosis_q002,"How does age modify venous thromboembolism risk across population cohorts"
thrombosis_q003,"What is the venous thromboembolism risk associated with obesity, and how is it quantified across studies"
thrombosis_q004,"How does smoking affect venous thromboembolism risk, and is the effect independent of other factors"
thrombosis_q005,"What is the recurrence risk after a first unprovoked venous thromboembolism, and what predictors are most validated"
thrombosis_q006,"What validated clinical prediction tools exist for venous thromboembolism risk assessment, and how do they compare"
thrombosis_q007,"What is the evidence for D dimer guided strategies to predict recurrence after anticoagulation discontinuation"
thrombosis_q008,"What is the relationship between inflammatory markers and venous thromboembolism risk in cohort studies"
thrombosis_q009,"What is the association between thrombophilia testing results and recurrence risk, and does it change management"
thrombosis_q010,"What is the relative contribution of transient risk factors versus persistent risk factors in venous thromboembolism incidence"
thrombosis_q011,"What is the venous thromboembolism risk after major orthopedic surgery, and what prophylaxis regimens reduce risk"
thrombosis_q012,"What is the evidence on venous thromboembolism risk after general surgery, and which patients benefit from extended prophylaxis"
thrombosis_q013,"What is the venous thromboembolism risk associated with prolonged immobilization, and what prevention strategies are supported"
thrombosis_q014,"What is the evidence for travel related venous thromboembolism risk, and what duration thresholds are used"
thrombosis_q015,"What is the venous thromboembolism risk associated with lower limb casting, and what prophylaxis is recommended"
thrombosis_q016,"What is the incidence of venous thromboembolism in trauma patients, and what prophylaxis approaches are best supported"
thrombosis_q017,"What perioperative anticoagulation interruption strategies minimize thrombosis without increasing bleeding excessively"
thrombosis_q018,"What cancers have the highest incidence of cancer associated thrombosis"
thrombosis_q019,"How does chemotherapy influence thrombosis risk, and which regimens are most associated"
thrombosis_q020,"What is the evidence for prophylactic anticoagulation in ambulatory cancer patients at high risk for thrombosis"
thrombosis_q021,"How do direct oral anticoagulants compare to low molecular weight heparin for treatment of cancer associated venous thromboembolism in effectiveness and bleeding"
thrombosis_q022,"What validated risk scores exist for cancer associated thrombosis, and how are they used"
thrombosis_q023,"What is the evidence for duration of anticoagulation in cancer associated venous thromboembolism"
thrombosis_q024,"What is the risk of venous thromboembolism during pregnancy and postpartum, and how does it vary by period"
thrombosis_q025,"What risk factors most strongly predict pregnancy associated venous thromboembolism"
thrombosis_q026,"What is the venous thromboembolism risk associated with combined oral contraceptives across different formulations"
thrombosis_q027,"What is the venous thromboembolism risk associated with hormone replacement therapy, and how does route of administration affect risk"
thrombosis_q028,"What is the evidence for thromboprophylaxis in high risk pregnancy, including prior venous thromboembolism"
thrombosis_q029,"How does inherited thrombophilia modify pregnancy related venous thromboembolism risk, and what screening is supported"
thrombosis_q030,"What is the clinical significance of Factor V Leiden for first venous thromboembolism risk and recurrence"
thrombosis_q031,"What is the clinical significance of prothrombin G20210A mutation for venous thromboembolism risk"
thrombosis_q032,"What is the evidence that protein C, protein S, and antithrombin deficiencies increase venous thromboembolism risk"
thrombosis_q033,"What is the evidence for antiphospholipid syndrome and thrombosis, and how is diagnosis operationalized"
thrombosis_q034,"How do direct oral anticoagulants perform in antiphospholipid syndrome compared with warfarin, and what risks are reported"
thrombosis_q035,"What is the role of thrombophilia testing after provoked versus unprovoked venous thromboembolism"
thrombosis_q036,"How accurate is D dimer for ruling out venous thromboembolism across age groups, and what adjusted thresholds are supported"
thrombosis_q037,"What is the evidence for clinical decision rules like Wells or Geneva in suspected deep vein thrombosis or pulmonary embolism"
thrombosis_q038,"What imaging modalities are best supported for deep vein thrombosis diagnosis, and in which clinical contexts"
thrombosis_q039,"What imaging modalities are best supported for pulmonary embolism diagnosis, and in which clinical contexts"
thrombosis_q040,"What is the evidence for biomarker guided risk stratification in acute pulmonary embolism, including troponin and BNP"
thrombosis_q041,"What is the relationship between platelet count and thrombosis risk across relevant conditions"
thrombosis_q042,"How do direct oral anticoagulants compare to warfarin for treatment of venous thromboembolism regarding recurrence and major bleeding"
thrombosis_q043,"What is the evidence for treatment duration in provoked venous thromboembolism"
thrombosis_q044,"What is the evidence for treatment duration in unprovoked venous thromboembolism"
thrombosis_q045,"What is the evidence for extended low dose anticoagulation to prevent venous thromboembolism recurrence"
thrombosis_q046,"What is the evidence for catheter directed thrombolysis in iliofemoral deep vein thrombosis outcomes"
thrombosis_q047,"What is the evidence for thrombolysis in massive or submassive pulmonary embolism outcomes"
thrombosis_q048,"What factors predict post thrombotic syndrome, and what interventions reduce its incidence"
thrombosis_q049,"What is the evidence for compression therapy in preventing post thrombotic syndrome"
thrombosis_q050,"What is the comparative evidence for inferior vena cava filters, including benefits, harms, and indications"
